,Year,Country Name,GDP Growth (%),GDP per capita (US$),GDP per capita growth (%),Inflation (%),Unemployment (%),Health expenditure (% of GDP),Life expectancy (years),Population,HDI,Status
100,2005,Norway,2.62,66775.39,1.93,1.52,4.38,8.89,80.04,4623291.0,0.931,Developed
106,2005,Italy,0.95,31959.26,0.45,2.0,7.73,8.71,80.78,57969484.0,0.856,Developed
103,2005,Iran,4.21,3121.84,3.02,13.43,12.1,6.06,71.93,70421811.0,0.692,Developing
102,2005,Germany,0.71,34696.62,0.76,1.55,11.17,10.52,78.93,82469422.0,0.892,Developed
104,2005,Brazil,3.2,4770.18,2.0,6.87,11.37,8.27,71.99,186917361.0,0.698,Developing
108,2005,Morocco,3.29,2013.76,2.08,0.98,11.01,5.06,71.39,30521070.0,0.575,Developing
105,2005,South Africa,5.28,5414.63,3.94,3.4,23.84,7.77,52.56,47606670.24,0.609,Developing
102,2005,India,9.28,707.01,7.57,4.25,4.4,4.28,64.56,1144118674.0,0.536,Developing
106,2005,Mexico,3.03,7986.8,1.63,3.99,3.56,6.04,75.28,108472228.0,0.723,Developing
101,2005,Turkey,9.01,7384.35,7.57,10.14,10.64,5.45,72.45,67903406.0,0.687,Developing
107,2005,Sweden,2.82,43085.35,2.41,0.45,7.49,9.06,80.55,9029572.0,0.892,Developed
109,2005,Austria,2.14,38242.04,1.45,2.3,5.63,10.53,79.33,8227829.0,0.854,Developed
109,2005,Thailand,4.19,2893.65,3.51,4.54,1.35,3.55,72.13,65425470.0,0.686,Developing
105,2005,France,1.61,34879.73,0.84,1.74,8.95,10.6,80.16,63179356.0,0.87,Developed
100,2005,Egypt,4.48,1168.12,2.58,4.87,11.2,5.06,69.42,76778149.0,0.636,Developing
104,2005,United States,3.35,44307.92,2.4,3.39,5.1,15.15,77.49,295516599.0,0.898,Developed
103,2005,Switzerland,3.04,54797.55,2.38,1.17,4.44,10.86,81.24,7437115.0,0.904,Developed
114,2006,United States,2.67,46437.07,1.68,3.23,4.6,15.27,77.69,298379912.0,0.901,Developed
111,2006,Australia,2.98,36118.28,1.47,3.54,4.78,8.49,81.04,20697900.0,0.918,Developed
116,2006,Italy,2.01,33410.75,1.7,2.07,6.78,8.82,81.28,58143979.0,0.862,Developed
119,2006,Austria,3.35,40430.99,2.84,1.45,5.24,10.35,79.88,8268641.0,0.86,Developed
111,2006,Turkey,7.11,8034.87,5.77,9.6,8.72,5.81,72.83,68763405.0,0.697,Developing
117,2006,China,12.72,2099.23,12.09,1.46,4.0,4.52,74.32,1311020000.0,0.659,Developing
119,2006,Thailand,4.97,3368.95,4.33,4.64,1.22,3.49,72.51,65824164.0,0.687,Developing
118,2006,Canada,2.62,40386.7,1.81,2.0,6.3,9.75,80.29,32570505.0,0.894,Developed
117,2006,Sweden,4.69,46256.47,4.1,1.36,7.07,8.95,80.75,9080505.0,0.895,Developed
114,2006,Brazil,3.96,5860.15,2.81,4.18,11.49,8.36,72.35,189012412.0,0.7,Developing
118,2006,Morocco,7.57,2191.48,6.33,3.28,9.67,5.23,71.97,30869346.0,0.581,Developing
112,2006,India,9.26,792.03,7.58,6.15,4.33,4.25,64.97,1161977719.0,0.546,Developing
113,2006,Switzerland,4.01,57348.93,3.36,1.06,4.0,10.39,81.49,7483934.0,0.911,Developed
115,2006,South Africa,5.6,5631.7,4.23,4.64,22.61,7.57,52.6,48233804.48,0.612,Developing
115,2006,France,2.37,36544.51,1.66,1.68,8.94,10.53,80.81,63621376.0,0.873,Developed
110,2006,Norway,2.4,74114.7,1.57,2.33,3.4,8.43,80.34,4660677.0,0.934,Developed
110,2006,Egypt,6.85,1375.2,4.97,7.64,10.49,5.24,69.6,78159048.0,0.644,Developing
112,2006,Germany,3.7,36447.87,3.82,1.58,10.25,10.34,79.13,82376451.0,0.898,Developed
116,2006,Mexico,4.94,8767.92,3.4,3.63,3.57,5.83,75.44,110092378.0,0.731,Developing
113,2006,Iran,5.7,3631.24,4.51,11.94,11.3,5.95,72.28,71227880.0,0.704,Developing
126,2007,Italy,1.47,37698.79,0.96,1.82,6.07,8.48,81.43,58438310.0,0.866,Developed
127,2007,Sweden,3.4,53324.38,2.64,2.21,6.16,8.92,80.9,9148092.0,0.897,Developed
122,2007,Germany,3.26,41814.82,3.4,2.3,8.66,10.18,79.53,82266372.0,0.903,Developed
125,2007,France,2.36,41600.58,1.73,1.49,8.05,10.45,81.11,64016229.0,0.877,Developed
122,2007,India,9.8,1018.17,8.15,6.37,3.72,4.23,65.39,1179681239.0,0.556,Developing
123,2007,Switzerland,4.14,63223.47,3.21,0.73,3.65,10.21,81.74,7551117.0,0.914,Developed
124,2007,United States,1.78,48061.54,0.82,2.85,4.6,15.57,77.99,301231207.0,0.905,Developed
124,2007,Brazil,6.07,7313.56,4.95,3.64,10.86,8.28,72.71,191026637.0,0.704,Developing
125,2007,South Africa,5.36,6125.04,3.96,7.1,22.53,7.53,53.0,48883844.99,0.616,Developing
128,2007,Morocco,3.53,2494.35,2.33,2.04,9.8,5.48,72.52,31225881.0,0.589,Developing
129,2007,Thailand,5.44,3972.21,4.84,2.24,1.18,3.56,72.89,66195615.0,0.7,Developing
129,2007,Austria,3.62,46586.65,3.29,2.17,4.86,10.4,80.18,8295487.0,0.864,Developed
121,2007,Turkey,5.03,9709.49,3.77,8.76,8.87,6.04,73.18,69597281.0,0.705,Developing
120,2007,Egypt,7.09,1640.48,5.23,9.32,8.8,4.95,69.78,79537253.0,0.651,Developing
127,2007,China,14.23,2695.37,13.64,4.75,3.76,4.32,74.59,1317885000.0,0.672,Developing
126,2007,Mexico,3.2,9330.34,1.59,3.97,3.64,5.92,75.59,111836346.0,0.735,Developing
128,2007,Canada,2.06,44544.53,1.08,2.14,6.0,9.83,80.54,32887928.0,0.897,Developed
123,2007,Iran,9.12,4685.12,7.9,17.21,10.6,5.84,72.66,72031103.0,0.716,Developing
121,2007,Australia,3.75,40991.98,3.1,2.33,4.38,8.53,81.29,20827600.0,0.921,Developed
120,2007,Norway,2.93,85128.66,1.87,0.73,2.49,8.58,80.4,4709153.0,0.936,Developed
134,2008,United States,-0.29,48401.43,-1.23,3.84,5.8,16.02,78.04,304093966.0,0.907,Developed
136,2008,Mexico,1.4,9689.05,-0.23,5.12,3.9,6.06,75.74,113661809.0,0.738,Developing
138,2008,Morocco,5.92,2884.95,4.68,3.71,9.6,5.41,73.04,31596855.0,0.596,Developing
139,2008,Thailand,1.73,4378.69,1.19,5.47,1.18,3.92,73.25,66545760.0,0.706,Developing
136,2008,Italy,-1.05,40640.18,-1.7,3.38,6.72,8.89,81.49,58826731.0,0.868,Developed
139,2008,Austria,1.55,51386.38,1.23,3.22,4.13,10.6,80.43,8321496.0,0.87,Developed
135,2008,France,0.2,45413.07,-0.36,2.81,7.48,10.57,81.21,64374990.0,0.879,Developed
133,2008,Switzerland,2.28,72119.56,0.99,2.43,3.35,10.29,81.99,7647675.0,0.916,Developed
138,2008,Canada,1.0,46596.34,-0.09,2.37,6.1,10.03,80.7,33245773.0,0.898,Developed
135,2008,South Africa,3.19,5786.6,1.79,11.54,22.41,7.75,53.7,49557573.3,0.622,Developing
132,2008,India,3.89,991.48,2.38,8.35,4.15,4.34,65.81,1197146906.0,0.563,Developing
131,2008,Turkey,0.85,10850.69,-0.36,10.44,9.71,6.07,73.5,70440032.0,0.709,Developing
133,2008,Iran,0.92,5452.49,-0.2,25.55,10.48,6.28,73.07,72845542.0,0.728,Developing
137,2008,Sweden,-0.56,55746.84,-1.33,3.44,6.24,9.23,81.1,9219637.0,0.898,Developed
132,2008,Germany,1.08,45699.2,1.27,2.63,7.53,10.39,79.74,82110097.0,0.906,Developed
134,2008,Brazil,5.09,8787.61,4.03,5.66,9.57,8.24,73.07,192979029.0,0.714,Developing
137,2008,China,9.65,3471.25,9.09,5.86,4.36,4.59,74.84,1324655000.0,0.682,Developing
131,2008,Australia,3.7,49664.69,1.64,4.35,4.23,8.78,81.4,21249200.0,0.925,Developed
130,2008,Norway,0.38,96880.51,-0.86,3.77,2.55,8.4,80.59,4768212.0,0.936,Developed
130,2008,Egypt,7.16,2011.25,5.28,18.32,8.7,4.82,69.96,80953881.0,0.659,Developing
144,2009,United States,-2.78,47001.56,-3.62,-0.36,9.3,17.0,78.39,306771529.0,0.907,Developed
149,2009,Thailand,-0.69,4212.05,-1.19,-0.85,1.49,4.11,73.59,66881867.0,0.711,Developing
141,2009,Turkey,-4.7,9036.5,-5.91,6.25,12.55,6.08,73.81,71339185.0,0.715,Developing
147,2009,China,9.4,3838.43,8.86,-0.7,4.29,5.08,75.06,1331260000.0,0.691,Developing
146,2009,Mexico,-4.7,7748.12,-6.22,5.3,5.38,6.6,75.88,115505228.0,0.739,Developing
141,2009,Australia,1.81,42743.0,-0.26,1.82,5.56,9.05,81.54,21691700.0,0.927,Developed
144,2009,Brazil,-0.13,8553.38,-1.11,4.89,9.73,8.65,73.42,194895996.0,0.716,Developing
142,2009,India,8.48,1090.32,6.95,10.88,3.91,4.38,66.23,1214270132.0,0.569,Developing
140,2009,Norway,-1.62,80017.78,-2.86,2.17,3.1,9.49,80.8,4828726.0,0.936,Developed
140,2009,Egypt,4.67,2291.67,2.76,11.76,9.38,5.01,70.15,82465022.0,0.665,Developing
149,2009,Austria,-3.8,47654.19,-4.05,0.51,5.3,11.19,80.33,8343323.0,0.872,Developed
147,2009,Sweden,-5.18,46207.06,-5.99,-0.49,8.35,9.94,81.35,9298515.0,0.895,Developed
146,2009,Italy,-5.48,36976.85,-5.91,0.75,7.75,9.41,81.64,59095365.0,0.869,Developed
145,2009,France,-2.94,41631.13,-3.44,0.09,9.15,11.28,81.41,64707044.0,0.879,Developed
148,2009,Morocco,4.24,2861.55,2.96,0.99,9.1,5.67,73.51,31989897.0,0.603,Developing
143,2009,Switzerland,-2.13,69672.0,-3.34,-0.48,4.12,11.0,82.04,7743831.0,0.92,Developed
142,2009,Germany,-5.62,41732.71,-5.38,0.31,7.74,11.4,79.84,81902307.0,0.907,Developed
148,2009,Canada,-2.95,40773.45,-4.05,0.3,8.3,11.17,80.95,33628571.0,0.898,Developed
145,2009,South Africa,-1.54,5888.6,-2.91,7.13,23.52,8.39,54.68,50255813.11,0.63,Developing
143,2009,Iran,2.31,5414.46,1.15,13.5,11.97,7.63,73.51,73687565.0,0.735,Developing
154,2010,Brazil,7.53,11224.15,6.49,5.04,8.49,8.27,73.77,196796269.0,0.724,Developing
152,2010,India,10.26,1345.77,8.76,11.99,3.55,4.28,66.64,1230980691.0,0.58,Developing
157,2010,Sweden,5.99,52076.26,5.09,1.16,8.61,9.47,81.45,9378126.0,0.901,Developed
151,2010,Australia,2.01,51874.08,0.43,2.85,5.21,9.02,81.7,22031750.0,0.927,Developed
158,2010,Canada,3.08,47447.48,1.94,1.78,8.1,11.2,81.2,34005274.0,0.903,Developed
159,2010,Thailand,7.51,5075.3,6.99,3.25,1.04,3.81,73.89,67208808.0,0.72,Developing
158,2010,Morocco,3.82,2834.2,2.47,0.99,9.1,5.86,73.94,32409639.0,0.612,Developing
154,2010,United States,2.53,48373.88,1.68,1.64,9.6,17.02,78.54,309348193.0,0.91,Developed
151,2010,Turkey,8.49,10672.06,7.01,8.57,10.66,5.61,74.09,72326914.0,0.737,Developing
155,2010,South Africa,3.04,7362.76,1.58,4.26,24.69,8.5,55.87,50979432.36,0.638,Developing
156,2010,Mexico,5.11,8959.58,3.49,4.16,5.33,6.39,76.03,117318941.0,0.745,Developing
152,2010,Germany,4.08,41785.56,4.24,1.1,6.97,11.25,79.99,81776930.0,0.912,Developed
157,2010,China,10.64,4560.51,10.1,3.33,4.2,4.89,75.27,1337705000.0,0.7,Developing
155,2010,France,1.97,40703.34,1.46,1.53,9.3,11.2,81.66,65027512.0,0.882,Developed
150,2010,Egypt,5.15,2602.48,3.09,11.27,8.98,4.8,70.34,84107606.0,0.671,Developing
150,2010,Norway,0.6,87646.75,-0.64,2.4,3.52,9.26,81.0,4889252.0,0.939,Developed
156,2010,Italy,1.69,35849.37,1.37,1.54,8.36,9.42,82.04,59277417.0,0.872,Developed
153,2010,Switzerland,2.95,74276.72,1.89,0.7,4.54,11.07,82.25,7824909.0,0.932,Developed
153,2010,Iran,6.58,6273.38,5.32,10.14,13.52,8.02,73.96,74567511.0,0.745,Developing
159,2010,Austria,1.93,46657.06,1.68,1.81,4.82,11.17,80.58,8363404.0,0.88,Developed
165,2011,France,2.08,43810.2,1.59,2.12,9.25,11.33,82.11,65342776.0,0.885,Developed
168,2011,Morocco,5.25,3039.92,3.8,0.92,8.91,5.99,74.32,32858823.0,0.623,Developing
166,2011,Mexico,4.04,9834.47,2.5,3.41,5.19,6.04,76.19,119090017.0,0.748,Developing
164,2011,United States,1.6,49790.67,0.85,3.16,8.9,17.06,78.64,311663358.0,0.913,Developed
167,2011,Sweden,2.66,59593.29,1.89,2.96,7.8,11.7,81.8,9449213.0,0.903,Developed
160,2011,Norway,0.97,100574.99,-0.33,1.3,3.21,9.14,81.3,4953088.0,0.941,Developed
162,2011,Germany,3.66,46810.33,5.6,2.08,5.82,10.93,80.44,80274983.0,0.916,Developed
167,2011,China,9.54,5633.8,9.01,5.41,4.34,5.03,75.45,1344130000.0,0.703,Developing
164,2011,Brazil,3.97,13167.47,2.99,6.64,7.78,8.09,74.1,198686688.0,0.73,Developing
169,2011,Austria,2.81,51126.74,2.46,3.27,4.56,10.94,80.98,8391643.0,0.884,Developed
160,2011,Egypt,1.78,2747.48,-0.34,10.05,12.0,5.04,70.53,85897561.0,0.673,Developing
162,2011,India,6.64,1461.67,5.25,8.86,3.54,4.33,67.03,1247236029.0,0.59,Developing
163,2011,Iran,3.75,7842.43,2.48,20.63,12.3,7.12,74.39,75491582.0,0.755,Developing
