,tweet_id,tweet_date,tweet_url,retweet_count,favorite_count,name,dog_stage,dog_gender,rating_numerator,rating_denominator,jpg_url,prediction,confidence
31,684097758874210310,2016-01-04 19:43:10,https://twitter.com/dog_rates/status/684097758874210310/photo/1,1600,4446,Lupe,NaN,F,10.0,10.0,https://pbs.twimg.com/media/CX5nR5oWsAAiclh.jpg,Labrador Retriever,0.6278560000000001
32,684122891630342144,2016-01-04 21:23:02,https://twitter.com/dog_rates/status/684122891630342144/photo/1,532,2143,,NaN,NaN,11.0,10.0,https://pbs.twimg.com/media/CX5-HslWQAIiXKB.jpg,NaN,0.0
33,684177701129875456,2016-01-05 01:00:50,https://twitter.com/dog_rates/status/684177701129875456/photo/1,749,2180,Kulet,NaN,F,10.0,10.0,https://pbs.twimg.com/media/CX6v_JOWsAE0beZ.jpg,Chow,0.334783
34,684188786104872960,2016-01-05 01:44:52,https://twitter.com/dog_rates/status/684188786104872960/photo/1,1317,3762,,NaN,NaN,10.0,10.0,https://pbs.twimg.com/media/CX66EiJWkAAVjA-.jpg,Kelpie,0.537782
35,684195085588783105,2016-01-05 02:09:54,https://twitter.com/dog_rates/status/684195085588783105/photo/1,585,2065,Tino,NaN,M,9.0,10.0,https://pbs.twimg.com/media/CX6_y6OU0AAl3v2.jpg,Chihuahua,0.379365
36,684200372118904832,2016-01-05 02:30:55,https://twitter.com/dog_rates/status/684200372118904832/photo/1,1149,2349,,NaN,NaN,6.0,10.0,https://pbs.twimg.com/media/CX7EkuHWkAESLZk.jpg,NaN,0.0
37,684222868335505415,2016-01-05 04:00:18,https://twitter.com/dog_rates/status/684222868335505415/photo/1,1536,4160,,NaN,F,121.0,110.0,https://pbs.twimg.com/media/CX7Y_ByWwAEJdUy.jpg,Soft-Coated Wheaten Terrier,0.7911819999999999
38,685532292383666176,2016-01-08 18:43:29,https://twitter.com/dog_rates/status/685532292383666176/photo/1,1283,3285,,NaN,NaN,9.0,10.0,https://pbs.twimg.com/media/CYN_-6iW8AQhPu2.jpg,Collie,0.0958052
39,684241637099323392,2016-01-05 05:14:53,"https://twitter.com/dog_rates/status/684241637099323392/photo/1,https://twitter.com/dog_rates/status/684241637099323392/photo/1,https://twitter.com/dog_rates/status/684241637099323392/photo/1",3668,8844,Obi,NaN,M,12.0,10.0,https://pbs.twimg.com/media/CX7qIcdWcAELJ7N.jpg,Pembroke,0.508498
40,684481074559381504,2016-01-05 21:06:19,https://twitter.com/dog_rates/status/684481074559381504/photo/1,1303,4181,Pippa,NaN,F,10.0,10.0,https://pbs.twimg.com/media/CX_D6AJWwAAnBIw.jpg,Chihuahua,0.93781
41,684567543613382656,2016-01-06 02:49:55,https://twitter.com/dog_rates/status/684567543613382656/photo/1,1388,3262,Bobby,NaN,M,4.0,10.0,https://pbs.twimg.com/media/CYASi6FWQAEQMW2.jpg,NaN,0.0
42,684594889858887680,2016-01-06 04:38:35,https://twitter.com/dog_rates/status/684594889858887680/photo/1,3950,9686,,NaN,NaN,10.0,10.0,https://pbs.twimg.com/media/CYAra7JWsAACPZH.jpg,Weimaraner,0.948688
43,684800227459624960,2016-01-06 18:14:31,https://twitter.com/dog_rates/status/684800227459624960/photo/1,1101,2928,Theodore,NaN,M,11.0,10.0,https://pbs.twimg.com/media/CYDmK7ZVAAI_ylL.jpg,Miniature Schnauzer,0.294457
44,684902183876321280,2016-01-07 00:59:40,https://twitter.com/dog_rates/status/684902183876321280/photo/1,598,2023,Perry,NaN,M,11.0,10.0,https://pbs.twimg.com/media/CYFC5lmWAAAEIho.jpg,Pembroke,0.708034
45,684914660081053696,2016-01-07 01:49:14,https://twitter.com/dog_rates/status/684914660081053696/photo/1,1631,3784,,NaN,NaN,12.0,10.0,https://pbs.twimg.com/media/CYFOP6cWEAAWp-k.jpg,Chow,0.261288
46,684926975086034944,2016-01-07 02:38:10,https://twitter.com/dog_rates/status/684926975086034944/photo/1,538,3792,Bruiser,NaN,NaN,11.0,10.0,https://pbs.twimg.com/media/CYFZXdiU0AAc_kw.jpg,Labrador Retriever,0.769412
47,684940049151070208,2016-01-07 03:30:07,"https://twitter.com/dog_rates/status/684940049151070208/photo/1,https://twitter.com/dog_rates/status/684940049151070208/photo/1",1163,3471,Oreo,NaN,F,12.0,10.0,https://pbs.twimg.com/media/CYFlVUFWwAAEsWX.jpg,Border Collie,0.665578
48,684959798585110529,2016-01-07 04:48:36,https://twitter.com/dog_rates/status/684959798585110529/photo/1,3493,7200,Jerry,NaN,M,5.0,10.0,https://pbs.twimg.com/media/CYF3TSlWMAAaoG5.jpg,NaN,0.0
49,685198997565345792,2016-01-07 20:39:06,https://twitter.com/dog_rates/status/685198997565345792/photo/1,748,2509,Alfie,NaN,M,11.0,10.0,https://pbs.twimg.com/media/CYJQxvJW8AAkkws.jpg,Old English Sheepdog,0.00967138
50,685315239903100929,2016-01-08 04:21:00,"https://twitter.com/dog_rates/status/685315239903100929/photo/1,https://twitter.com/dog_rates/status/685315239903100929/photo/1",1211,3612,,NaN,NaN,11.0,10.0,https://pbs.twimg.com/media/CYK6kf0WMAAzP-0.jpg,Chow,0.470162
51,685321586178670592,2016-01-08 04:46:13,https://twitter.com/dog_rates/status/685321586178670592/photo/1,724,2865,Rocky,NaN,M,10.0,10.0,https://pbs.twimg.com/media/CYLAWFMWMAEcRzb.jpg,Boston Bull,0.972483
52,684460069371654144,2016-01-05 19:42:51,https://twitter.com/dog_rates/status/684460069371654144/photo/1,618,2136,Jeph,NaN,M,10.0,10.0,https://pbs.twimg.com/media/CX-wzZEUwAA4ISM.jpg,Labrador Retriever,0.673691
53,688116655151435777,2016-01-15 21:52:49,https://twitter.com/dog_rates/status/688116655151435777/photo/1,874,3049,,NaN,NaN,10.0,10.0,https://pbs.twimg.com/media/CYyucekVAAESj8K.jpg,Pug,0.973819
54,688211956440801280,2016-01-16 04:11:31,https://twitter.com/dog_rates/status/688211956440801280/video/1,932,2396,Derby,NaN,M,13.0,10.0,https://pbs.twimg.com/ext_tw_video_thumb/688211379870806016/pu/img/OI0VTwPYnsScQg8R.jpg,NaN,0.0
