,tweet_id,retweet_count,favorite_count,created_at
289,837471256429613056,2572,13797,Fri Mar 03 01:14:41 +0000 2017
290,837366284874571778,5908,22743,Thu Mar 02 18:17:34 +0000 2017
291,837110210464448512,2685,17249,Thu Mar 02 01:20:01 +0000 2017
292,836989968035819520,2562,13701,Wed Mar 01 17:22:13 +0000 2017
293,836753516572119041,5150,20737,Wed Mar 01 01:42:39 +0000 2017
294,836677758902222849,2473,13581,Tue Feb 28 20:41:37 +0000 2017
295,836648853927522308,615,0,Tue Feb 28 18:46:45 +0000 2017
296,836397794269200385,30756,0,Tue Feb 28 02:09:08 +0000 2017
297,836380477523124226,3284,15855,Tue Feb 28 01:00:19 +0000 2017
298,836260088725786625,4776,22885,Mon Feb 27 17:01:56 +0000 2017
299,836001077879255040,4836,20618,Sun Feb 26 23:52:43 +0000 2017
300,835685285446955009,9156,0,Sun Feb 26 02:57:52 +0000 2017
301,835574547218894849,4059,19195,Sat Feb 25 19:37:50 +0000 2017
302,835536468978302976,1899,0,Sat Feb 25 17:06:32 +0000 2017
303,835309094223372289,23532,0,Sat Feb 25 02:03:02 +0000 2017
304,835297930240217089,3335,17647,Sat Feb 25 01:18:40 +0000 2017
305,835264098648616962,1899,8376,Fri Feb 24 23:04:14 +0000 2017
306,835246439529840640,81,2239,Fri Feb 24 21:54:03 +0000 2017
307,835172783151792128,6423,28173,Fri Feb 24 17:01:22 +0000 2017
308,835152434251116546,3386,24230,Fri Feb 24 15:40:31 +0000 2017
309,834931633769889797,1846,11688,Fri Feb 24 01:03:08 +0000 2017
310,834786237630337024,6077,22694,Thu Feb 23 15:25:23 +0000 2017
311,834574053763584002,2829,14802,Thu Feb 23 01:22:14 +0000 2017
312,834477809192075265,11951,0,Wed Feb 22 18:59:48 +0000 2017
313,834458053273591808,1870,10383,Wed Feb 22 17:41:18 +0000 2017
314,834209720923721728,5366,22264,Wed Feb 22 01:14:30 +0000 2017
315,834167344700198914,4062,16978,Tue Feb 21 22:26:07 +0000 2017
316,834089966724603904,2376,10840,Tue Feb 21 17:18:39 +0000 2017
317,834086379323871233,2474,14111,Tue Feb 21 17:04:24 +0000 2017
318,833863086058651648,2682,14473,Tue Feb 21 02:17:06 +0000 2017
319,833826103416520705,3845,16542,Mon Feb 20 23:50:09 +0000 2017
320,833732339549220864,244,0,Mon Feb 20 17:37:34 +0000 2017
321,833722901757046785,3575,22312,Mon Feb 20 17:00:04 +0000 2017
322,833479644947025920,2306,16056,Mon Feb 20 00:53:27 +0000 2017
323,833124694597443584,5422,21853,Sun Feb 19 01:23:00 +0000 2017
324,832998151111966721,2481,14381,Sat Feb 18 17:00:10 +0000 2017
325,832769181346996225,44,0,Sat Feb 18 01:50:19 +0000 2017
326,832757312314028032,4044,18202,Sat Feb 18 01:03:09 +0000 2017
327,832682457690300417,3306,12850,Fri Feb 17 20:05:43 +0000 2017
328,832645525019123713,581,3150,Fri Feb 17 17:38:57 +0000 2017
329,832636094638288896,3148,17159,Fri Feb 17 17:01:29 +0000 2017
330,832397543355072512,2497,12950,Fri Feb 17 01:13:34 +0000 2017
331,832369877331693569,3582,18558,Thu Feb 16 23:23:38 +0000 2017
332,832273440279240704,2612,12223,Thu Feb 16 17:00:25 +0000 2017
333,832215909146226688,6930,0,Thu Feb 16 13:11:49 +0000 2017
334,832215726631055365,10493,0,Thu Feb 16 13:11:05 +0000 2017
335,832088576586297345,2,72,Thu Feb 16 04:45:50 +0000 2017
336,832040443403784192,10901,0,Thu Feb 16 01:34:34 +0000 2017
